列1	列2	列3	列4	列5	列6	列7	列8
199	索尼Xperia XZ（双4G）	"五轴防抖，三重影像传感技术, Qnovo自适应充电"	4999	2016年9月	3.7	5.2	索尼移动手机
200	三星2016版GALAXY A5（A51	双面玻璃，指纹识别，快速充电	1509	2015年9月	3.4	5.2	三星手机
201	联想ZUK Z2（3GB RAM/全网通	永不卡顿2.0，按压式指纹识别，百变锁屏，OTG反向充电	1199	2016年8月	4	5	联想ZUK手机
202	联想ZUK Z2 Pro（旗舰版/全网通	PDAF+CAF双对焦，心跳拍照，2.5D弧面玻璃	1799	2016年4月	4.1	5.2	联想ZUK手机
203	黑莓Priv（双4G）	双曲面屏，物理键盘，手势功能	3830	2015年6月	4.2	5.4	黑莓手机
204	小米红米Note3（高配版/全网通）	指纹识别，大容量电池，阳光屏	980	2016年1月	3.6	5.5	小米手机
205	HTC 10（公开版/双4G）	2K屏幕，双生影像系统，Hi-Res Audio耳蜗音效	3779	2016年4月	3.8	5.2	HTC手机
206	黑莓P'9982（联通3G）	全触控设计，BlackBerry OS 10系统，800万像素的摄像头能满足日常需求，改版机售价偏高	6290	2013年11月	3.6	4.2	黑莓手机
207	小米红米Pro（尊享版/全网通）	2.5D玻璃，指纹识别，PDAF相位对焦，实时背景虚化	1599	2016年7月27日	3.6	5.5	小米手机
208	小米Max（全网通/4GB RAM）	伪基站识别，大屏黄金尺寸，悬浮球，指纹识别	1890	2016年5月	3.9	6.4	小米手机
209	小米Max（高配版/全网通/3GB RA	伪基站识别，大屏黄金尺寸，悬浮球，指纹识别	1500	2016年5月	3.9	6.4	小米手机
210	索尼Xperia Z5 Compact（	清新活力的定位，IP68级防水功能，200GB的扩展容量，支持指纹识别，搭载高通骁龙810处理器	3120	2015年10月	4.1	4.6	索尼移动手机
211	联想PHAB Plus（全网通）	6.8英寸大屏，介于手机、平板之间，增加了多种单手操作设计，支持双频wifi，首发价2599起略高	1600	2015年8月	3.9	6.8	联想手机
212	三星W999（电信3G）	电信定制商务机，双屏双卡，由于价格昂贵，商家库存很少，且价格波动范围很大，购买需提前预定	1499	2011年12月	3.6	3.5	三星手机
213	朵唯L9（全网通）	超级魔镜，3D美妆，微信八开	2199	2016年11月	3.9	5.2	朵唯手机
214	nubia Z11（黑金版/全网通） 	无边美学，无界续航，手机摄影专家	2799	2016年9月	4.1	5.5	努比亚手机
215	nubia Z11（标准版/全网通）	无边美学，无界续航，手机摄影专家	2489	2016年6月	4.1	5.5	努比亚手机
216	nubia Z11（尊享版/全网通）	无边美学，无界续航，手机摄影专家	3899	2016年6月	4.1	5.5	努比亚手机
217	HTC Desire 728（D728w	主打年轻市场，外观设计去掉了四层下巴，支持2TB的microSD卡存储扩展，支持快速充电	970	2015年9月	4	5.5	HTC手机
218	HTC One E8（M8St/时尚版/	塑料机身设计，采用1300万摄像头，无UltraPixel技术，软件略有变化，价格低至2799，性价比高	988	2014年5月	4.4	5	HTC手机
219	魅族MX5e （青春版/双4G）	快速充电，智能美颜，唤醒功能	999	2016年4月	3.2	5.5	魅族手机
220	魅族魅蓝3（全网通）	后置相位对焦，双卡盲插，VoLTE数据传输	599	2016年4月	4.4	5	魅族手机
221	魅族魅蓝3S（高配版/全网通）	支持mPay，mTouch指纹识别，2.5D玻璃，金属机身	899	2016年5月	4.5	5	魅族手机
222	联想乐檬X3（双4G）	主打年轻时尚，Hi-Fi音效，杜比全景声，支持红外遥控，支持主副卡盲插电信4G，可同时双4G在线	1299	2015年11月	4.2	5.5	联想手机
223	乐视乐Max（全网通）	指纹识别，Hi-Fi音质，OIS光学防抖	1430	2015年7月	3.9	6.3	乐视手机
224	金立F103（1GB RAM/移动4G）	金立低端机，5英寸720P屏幕，搭载了四核处理器，配备了800万像素后置+500万像素前置摄像头组合	799	2015年6月	3.2	5	金立手机
225	金立V188S（双卡/移动4G）	金立超长待机王，移动4G网络，双卡，5200mAh超大容量电池，宣称可支持用户3天以上的移动续航	689	2014年10月	3.7	5	金立手机
226	vivo Y31（移动4G）	人脸识别技术，一键倾心，全景模式	899	2016年2月	3.3	4.7	vivo手机
227	小米红米Note4（高配版/全网通）	2.5D弧面玻璃，手机分身功能，金属机身， PDAF相位对焦	1166	2016年8月	3.4	5.5	小米手机
228	小米红米Note3（标准版/双4G）	PDAF相位对焦，指纹识别，大容量电池	850	2015年11月	3.6	5.5	小米手机
229	小米红米3S（标准版/全网通）	护眼模式，36级别智能美颜，人脸识别	709	2016年6月	3.5	5	小米手机
230	三星GALAXY J5（J5008/移动	三星中低端手机，定位年轻消费市场，可拆卸式电池，Android5.1操作系统，1300万像素主摄像头	838	2015年6月	3.6	5	三星手机
231	Microsoft Lumia 950（	预装Windows 10系统，支持红外传感器，USB Type-C接口，保护盖加持Qi无线充电，配置骁龙808芯片	2299	2015年10月	3.5	5.2	微软手机
232	Microsoft Lumia 640 	定位于中端机，5.7英寸大屏，支持无线充电功能，可升级到Window 10操作系统，可拆卸式电池	719	2016年2月	3.6	5.7	微软手机
233	Microsoft Lumia 640（	微软双卡双4G手机，Lumia拍摄5.0，可拆卸式2500mAh电池，支持NFC，可升级到Window10	519	2015年2月	3.5	5	微软手机
234	小米红米Note3（高配版/双4G）	搭载1300万后置摄像头，支持PDAF相位对焦，宣传说支持36级美颜功能，实际只是四个固定的美颜档位	1050	2015年11月	3.6	5.5	小米手机
235	小米红米Pro（标准版/全网通）	2.5D玻璃，指纹识别，PDAF相位对焦，实时背景虚化	1139	2016年7月27日	3.6	5.5	小米手机
236	小米红米Pro（高配版/全网通）	2.5D玻璃，指纹识别，PDAF相位对焦，实时背景虚化	1299	2016年7月27日	3.6	5.5	小米手机
237	小米4C（高配版/全网通）	红外遥控功能，双击唤醒，边缘手势识别	1099	2015年9月	3.4	5	小米手机
238	飞利浦V387	官方宣传千元双卡待机王，5英寸屏幕，4400毫安超大可拆卸电池，支持一键节电功能	899	2014年9月	4	5	飞利浦手机
239	魅族魅蓝Max（全网通）	超长续航，远程拍摄，指纹支付	1699	2016年9月15日	4.2	6	魅族手机
240	三星GALAXY Core Lite（G	定位千元中低端市场的双卡电信4G产品，4.7英寸屏幕，四核1.2GHz高通处理器，500万像素后摄像头	599	2014年8月	3.2	4.7	三星手机
241	HTC One E8（M8Sw/时尚版/	塑料机身设计，采用1300万摄像头，无UltraPixel技术，软件略有变化，价格低至2799，性价比高	798	2014年5月	4.4	5	HTC手机
242	华为G7 Plus（RIO-TL00/移	全金属机身，2.5D弧面玻璃，指纹识别	950	2015年9月	3.3	5.5	华为手机
243	三星GALAXY On7（G6000/1	三星千元机，任意界面双击两次Home键能够快速开启拍照功能，配备了8级美颜和大眼等功能	810	2015年10月	3.3	5.5	三星手机
244	索尼Xperia C3（S55T/移动4	主打美颜自拍时尚4G智能手机，500万前置摄像头，带有自拍美颜功能，1999元的售价比较有竞争力	839	2014年7月	4	5.5	索尼移动手机
245	酷派全魔王手机（8298-A01/全网通	中国电信/酷派联手推出的全网通手机，双槽同时支持电信4G，拥有指纹识别功能，内置乐视生态内容	625	2015年9月	3.2	5	酷派手机
246	华硕ZenFone 3尊爵（ZS570K	抗污涂层，双色温补光灯，金属机身	4999	2016年9月	4.3	5.7	华硕手机
247	华硕电神5000（ZC550KL/双4G	具有超长续航能力，可待机37.5天，拍照方面也很不错，采用激光对焦技术，仅需0.03s就可极速对焦	890	2015年10月	3.5	5.5	华硕手机
248	华硕飞马2 Plus（高配版/全网通）	华硕中高端机，搭载省事儿2.0智能操作系统，支持由点到面的手纹识别解锁功能，可以手指多维触控	1999	2015年9月	4.2	5.5	华硕手机
249	华硕鹰眼ZenFone Zoom（ZX5	3倍光学变焦，镭射对焦，全层压显示屏	3699	2015年12月	3.8	5.5	华硕手机
250	TCL 580（全网通）	Pose指引拍照，指纹支付，耳机专业适配	1399	2016年10月10日	3.7	5	TCL手机
251	TCL 750（全网通）	计步功能，双微信双QQ，0.5秒指纹识别，POSE美姿	1399	2016年6月	3.6	5.2	TCL手机
252	SUGAR C7（双4G）	后置镜头镶嵌施华洛世奇宝石，闪传，双微信，防偷窥应用	1299	2016年4月	5	5	SUGAR手机
253	ivvi 小i（移动4G）	主打年轻时尚，ivvi私语为恋人专属定制，同一时间可异地合照，通过账户登录和关联，建立二人空间	1499	2015年6月	3.3	5	ivvi手机
254	ivvi S6（S6-NT/双4G）	酷派子品牌，定位高端时尚群体，此款产品主打时尚的外观设计，双镜面玻璃，金属陶瓷机身	1399	2014年12月	3.2	5.5	ivvi手机
255	索尼Xperia Z4（双4G）	局部gif拍摄模式，IP65/68级别防尘防水，大光圈	2099	2014年7月	4.1	5.2	索尼移动手机
256	索尼Xperia C3（S55U/联通4	主打美颜自拍时尚4G智能手机，500万前置摄像头，带有自拍美颜功能，1999元的售价比较有竞争力	850	2014年7月	4	5.5	索尼移动手机
257	黑莓Q10	全新的黑莓BB10操作系统，经典QWERTY全键盘+触屏输入方式，后盖采用仿皮革质感材质，电池可拆卸	1600	2013年1月	4.2	3.1	黑莓手机
258	奇酷旗舰版（32GB ROM/全网通）	拥有2.5D弧面屏幕、1.4mm超窄边框以及金属的机身，加入了“T形结构”的电池，容量达到3700mAh	1099	2015年8月	4	6	奇酷手机
259	全普QU1 MEMS激光投影手机（双4G	护眼模式，36级智能美颜，激光投影	4999	2016年8月	4.3	5	全普手机
260	华为C8818（电信4G）	华为中低端机，内置智能辅助功能，比如通过侧倾、双击、画字母等可进入应用，拥有华为省电技术	588	2015年5月	3.5	5	华为手机
261	华为畅享5S（TAG-TL00/移动4G	金属机身，指纹识别，指纹支付，快速解锁屏	890	2015年12月	3.1	5	华为手机
262	华为G7 Plus（RIO-UL00/双	全金属机身，2.5D弧面玻璃，指纹识别	970	2015年9月	3.3	5.5	华为手机
263	锤子科技M1L（高配版/全网通）	快速充电，双色温补光灯，PDAF相位对焦，指纹识别	3399	2016年10月	4.3	5.7	锤子科技手机
264	锤子科技M1L（标准版/全网通）	"讯飞语音识别技术, Big Bang（大爆炸），支持NFC功能"	2939	2016年10月	4.3	5.7	锤子科技手机
265	中国移动A1s（M631/双4G）	VoLTE高清语音，on cell工艺，纤薄机身，双麦克	499	2016年5月	3.9	5	中国移动手机
266	三星GALAXY On5（G5500/双	定位低端，适合年轻人，仿皮材质外壳，内设电源管理、存储管理、RAM管理、设备安全管理四大项管	630	2015年10月	3.4	5	三星手机
267	三星GALAXY J3（J3109/电信	息屏快启相机，大容量电池，NFC无线通讯	679	2015年11月	3.4	5	三星手机
268	神舟灵雅X55（移动4G）	铝钛合金中框，5.5英寸720P屏幕，联发科MT6592八核处理器加上MT6290 4G网络基带芯片	570	2014年9月	4	5.5	神舟手机
269	中兴Blade A2（移动4G）	2.5D弧面玻璃，3D指纹，PDAF相位对焦，私密空间加密	590	2016年6月	4.1	5	中兴手机
270	朵唯逆客（移动4G）	土豆联合朵唯推出190度可翻盖摄像头的智能影像手机，可轻松拍摄自拍录像，1999元厂商指导售价	1399	2014年11月	4.5	5	朵唯手机
271	神舟X50TS	"该产品缺少产品特性说明，补充相关内容使产品特性更突出，赶快来<a id=""J_SubtitleEdit"" href=""javascript:void(0);"" data-id=""376347"" dat"	399	2014年4月	3.8	5	神舟手机
272	联想黄金斗士S8（S898t+/加持版）	与普通版相比，RAM容量提高到2GB，ROM容量提高16GB，价格由798提高到998	399	2014年3月	4	5.3	联想手机
273	SUGAR 时尚手机（SS129/32G	机身周边129颗施华洛世奇人工宝石，800万前置摄像头自拍效果出色，后置摄像头有蓝宝石镜头保护	3688	2013年7月	4.6	5	SUGAR手机
274	中兴星星1号（移动4G/16GB ROM	一体化双玻璃镜面设计，5模13频实现全球网络漫游，但国内无法使用WCDMA和FDD网络	499	2014年4月	3.9	5	中兴手机
275	联想VIBE Z2 Pro（K920/移	6英寸2K屏金属旗舰机，双卡双通，移动4G网络，硬件配置强悍，4799元的高价定位让不少人望而却步	1268	2014年11月	3.9	6	联想手机
276	IUNI i1（泡芙小姐/双4G）	定位女性市场，主打智能美颜功能，手机界面由泡芙小姐形象定制	653	2015年3月	3.3	5.2	IUNI手机
277	联想VIBE X2（X2-TO/移动4G	一体式镁铝合金机身，侧面采用Layer彩虹配色概念，主打外观设计，智能八核联发科处理器	499	2014年9月	3.1	5	联想手机
278	HTC One M8 Eye（M8Et/	One M8的改进版，主打拍照，增添1300万加景深双镜头3D立体相机和Eye Experience创新拍照功能	1290	2014年10月	4.6	5	HTC手机
279	朵唯倾城L1（移动4G）	定位女性用户群，双面钢化玻璃加金属中框设计，800万像素搭配魔镜cam2.0，采用On-Cell全贴合技术	1299	2014年10月	3.1	5.5	朵唯手机
280	朵唯倾城L3（双4G）	2.5D弧形玻璃，魔镜cam3.0，快速充电	1580	2015年4月	2.9	5	朵唯手机
281	朵唯L5 Pro（双4G）	主打女性市场，双面玻璃设置，内置3D试妆镜，超级魔镜等功能，搭载YunOS操作系统，支持指纹识别	1799	2015年10月	4.2	5.2	朵唯手机
282	海信金盾（E76/全网通）	双微信，双QQ，指纹识别	1699	2016年7月	3.6	5.5	海信手机
283	中兴V5S（双4G）	千元双4G手机，5英寸屏幕，64位高通骁龙处理器，800万像素后摄像头，699元的售价还是很吸引人	429	2014年10月	3.6	5	中兴手机
284	中兴星星2号（G720T/移动4G）	运营商定制版属于线下版本，在网络支持方面有限制，处理器及内存扩展方面有差异，不支持语音唤醒	500	2015年1月	3.1	5	中兴手机
285	中兴星星2号（G720C/电信4G）	运营商定制版属于线下版本，在网络支持方面有限制，处理器及内存扩展方面有差异，不支持语音唤醒	530	2015年1月	3.1	5	中兴手机
286	中兴A910（电信版/全网通）	离线买单 ，智能语音，DTS音效	1299	2016年4月	4	5.5	中兴手机
287	中兴A910（公开版/全网通）	离线买单 ，智能语音，DTS音效	1499	2016年4月	4	5.5	中兴手机
288	朵唯倾城L1 mini（移动4G）	定位女性用户，拥有红外遥控功能，内置软件乐园，朵唯电子画报等APP，有美颜魔镜、水印相机等功	950	2014年10月	2.7	5	朵唯手机
289	朵唯L5 Plus（双4G）	定位女性用户，支持相位对焦，极速闪拍功能，自带电子画报APP，有丰富的娱乐、时尚、美食信息	1999	2015年8月	3.3	5.5	朵唯手机
290	荣耀4A（SCL-TL00/移动4G）	QuickCharge2.0快充，可拆卸式电池	650	2015年7月	3.3	5	荣耀手机
291	8848 钛金手机M3（巅峰版/全网通）	双系统，加密通话技术，私人订制	2	2016年7月	4.2	5	8848手机
292	三星W789（电信版）	3.3英寸双触摸屏设计，携带方便，触握舒适，双卡双待适合于商务人士，500万像素的摄像头拍照一般	799	2013年8月	3.7	3.3	三星手机
293	纽曼纽扣（CM810/双4G）	搭载阿里巴巴自主操作系统YunOS，支持指纹解锁、指纹支付、指纹加密等功能，支持快速充电技术	799	2015年4月	4.2	5.5	纽曼手机
294	中兴小鲜2（B880/电信4G）	中兴低端机，内置很多电信应用，可以自行卸载，背部设有实体键，支持快速拍照，一键启动应用功能	420	2015年4月	2.9	5	中兴手机
295	小米红米Note3（标准版/全网通）	5.5英寸1080p显示屏，电池容量4000毫安时，MIUI 7系统，500+1300万像素前后双摄像头	780	2016年1月	3.6	5.5	小米手机
296	8848 钛金手机（全网通）	无线U盾掌控安全，警报提醒，自动锁机	9999	2015年7月	3.4	5	8848手机
297	HTC One（801e/16GB/单卡	与其它行货版HTC One相比除了不支持双卡，ROM容量为16GB，其它配置一样，价格偏低于其它机型	890	2013年3月	4.1	4.7	HTC手机
298	小米4C（标准版/移动4G）	红外遥控功能，双击唤醒，边缘手势识别	689	2015年9月	3.4	5	小米手机
299	联想A850（联通版）	联通定制版，5.5寸大屏幕单手把持有困难，双卡双待单通，系统自带的软件可以通过ROOT删除掉	399	2013年7月	3.8	5.5	联想手机
300	联想A368T（移动4G）	低端4G入门机，5英寸屏幕，1.2GHz四核处理器，500万像素后置摄像头，2000毫安可拆卸电池	269	2014年10月	2	5	联想手机
301	荣耀畅玩5A（CAM-UL00/双4G）	双卡流量管理，VoLTE高清语音，SWS环绕音效	769	2016年6月	3.5	5.5	荣耀手机
302	荣耀畅玩5A（CAM-TL00H/移动4	双卡流量管理，VoLTE高清语音，SWS环绕音效	749	2016年6月	3.5	5.5	荣耀手机
303	魅族魅蓝3（高配版/全网通）	后置相位对焦，双卡盲插，VoLTE数据传输	799	2016年4月	4.4	5	魅族手机
304	OPPO R7 Plus（移动4G）	6吋大屏，4100毫安VOOC闪充大电池，金属一体机身	2499	2015年5月	4.2	6	OPPO手机
305	朗界RG740A（全网通）	NFC功能，三卫星系统定位IP68防尘防水4G手机，Android OS 5.1系统，四核处理器，3950mAh大电池	2899	2016年4月	3.9	4.7	朗界手机
306	朗界RG730（双4G）	IP68防护等级，双重定位自定义按键户外手机，1300万后置摄像头，NFC功能，Android 5.1 操作系统	2699	2016年4月	4.6	5	朗界手机
307	8848 钛金手机M3（尊享版/全网通）	双系统，加密通话技术，私人订制	9999	2016年7月	4.2	5	8848手机
308	联想S898t（移动3G）	具有智能旋转屏幕功能，可根据人眼方向智能判断是否自动旋转屏幕方向，标准SIM卡槽，电池可拆卸	399	2013年9月	4.2	5.3	联想手机
309	三星I9118	千元中端智能机，5.0英寸屏幕，移动3G网络，1.2GHz双核处理器，500万像素单摄像头	379	2013年10月	2.3	5	三星手机
310	中兴Q505T（移动4G）	移动4G低端机，4.5英寸屏幕，1.2GHz四核高通处理器，500万后置摄像头，2000毫安不可拆卸电池	280	2014年5月	3.2	4.5	中兴手机
311	中兴青漾2（G718C/电信4G）	电信八核手机，外观清新时尚，主打拍照功能，情境相片/运动追踪/运动轨迹为拍照带来不少乐趣	500	2014年8月	3.5	5	中兴手机
312	联想A788t（移动4G）	5英寸IPS显示屏，移动4G网络，800万像素摄像头，不足千元的售价，还是适合作为入门机使用的	400	2014年6月	3	5	联想手机
313	联想S810t	千元移动4G入门机，5.5英寸720P屏幕，前置200万后置800万像素双摄像头，2500毫安电池容量	400	2014年6月	3.4	5.5	联想手机
314	联想A320T（移动4G）	低端入门机，4英寸屏幕，200万像素后置摄像头，1500毫安可拆卸电池	319	2014年8月	3.2	4	联想手机
315	联想A388t（移动3G）	低端入门机，5英寸屏幕，1.2GHz展讯四核处理器，2000毫安可拆卸电池，500万像素后置摄像头	390	2014年2月	3.2	5	联想手机
316	联想S850t（移动3G）	千元中端机，5英寸720P屏幕，双卡，1.3GHz四核联发科处理器，前置500后置1300万像素摄像头	369	2014年2月	3.3	5	联想手机
317	中兴V5S（移动4G）	移动4G网络，与兼容版相比联通4G网络不可用，后置摄像头提升至1300万像素，价格提升至899元	390	2014年10月	3.6	5	中兴手机
318	中兴星星2号（G720T/联通4G）	运营商定制版属于线下版本，在网络支持方面有限制，处理器及内存扩展方面有差异，不支持语音唤醒	520	2015年1月	3.1	5	中兴手机
319	小米Note2（标配版/全网通）	柔性曲面屏，3D玻璃机身，超高像素相机	3329	2016年11月1日	4.3	5.7	小米手机
序号	手机名称	手机介绍	价格	上市时间	评分	尺寸	品牌
